"","X","SiteUID","Paper_ID","Treatment","UniqueFragID","Fragment_size_ha","Response","Sample_size_sum","Mist_net_hours","site_value","Cont_Paper_ID","Cont_SiteUID","Cont_UniqueFragID","Cont_Fragment_size_ha","Cont_Sample_size_sum","Cont_Value","lnRR","Comparison","Type","Partner_Paper_ID","Partner_SiteUID","Partner_UniqueFragID","Partner_Fragment_size_ha","Partner_Sample_size_sum","Partner_site_value","Response_site","Mist_net_hours_site","Sample_size","Rate","Treatment_site","UniqueFragID_site","Unique_name","Fragment_size_ha_site","Latitude","Longitude","Matrix_mean","Forest_Group","Elevation","Rainfall_mm","Forest_type","Country","Publication.Year","SiteUID_new","Cont_loc_key_new","Cont_SiteUID_generated_new","Cont_SiteUID_new","pooled_cont_new","lnRR_input","Value","nt","nc","nt_fix","nc_fix","vi_raw","vi","se_obs","lnRR_for_plot","Elevation_s","Rainfall_mm_s","Latitude_s","Longitude_s","Fragment_size_ha_s","forest_area_ref_ha","log_forest_area_ref","log_forest_area_ref_s","log_size_small","log_size_small_s","lnRR_plot"
"11",11,"Frag__4_9.194036_-79.929241_17.3_Trinidad",4,"Frag","4_9.194036_-79.929241_17.3_Trinidad",17.3,11,1,674.48,11,4,"Pooled_Cont__4",NA,NA,6,148,-2.55823792287355,"Frag_vs_Cont","SR_level",NA,NA,NA,NA,NA,NA,11,674.48,1,0.0163088601589373,"Frag","4_9.194036_-79.929241_17.3_Trinidad","Trinidad",17.3,9.194036,-79.929241,"Water","Tropical_Lowland",120,2600,"Lowland Tropical Forest","Panama",2008,"Frag__4_9.194036_-79.929241_17.3_Trinidad",NA,NA,NA,FALSE,11,11,1,6,1,6,1.16666666666667,1.16666666666667,1.08012344973464,-2.55823792287355,-0.41107435209999,1.01841810417342,0.178890481604336,-1.10314219184028,-0.215599007402839,10000,9.21034037197618,1.6569147377683,2.85070650150373,0.0655098622973319,2.55823792287355
"12",12,"Frag__4_9.203498_-79.850606_3.4_Tres Almendras Oeste",4,"Frag","4_9.203498_-79.850606_3.4_Tres Almendras Oeste",3.4,21,1,778.06,21,4,"Pooled_Cont__4",NA,NA,6,148,-1.93253202310914,"Frag_vs_Cont","SR_level",NA,NA,NA,NA,NA,NA,21,778.06,1,0.0269902064108166,"Frag","4_9.203498_-79.850606_3.4_Tres Almendras Oeste","Tres Almendras Oeste",3.4,9.203498,-79.850606,"Water","Tropical_Lowland",120,2600,"Lowland Tropical Forest","Panama",2008,"Frag__4_9.203498_-79.850606_3.4_Tres Almendras Oeste",NA,NA,NA,FALSE,21,21,1,6,1,6,1.16666666666667,1.16666666666667,1.08012344973464,-1.93253202310914,-0.41107435209999,1.01841810417342,0.179573167097995,-1.10223372011504,-0.239646345399774,10000,9.21034037197618,1.6569147377683,1.22377543162212,-0.714255273598194,1.93253202310914
"13",13,"Frag__4_9.205688_-79.90685_11.4_Pato Horqueta",4,"Frag","4_9.205688_-79.90685_11.4_Pato Horqueta",11.4,19,1,772.8,19,4,"Pooled_Cont__4",NA,NA,6,148,-2.03017049267305,"Frag_vs_Cont","SR_level",NA,NA,NA,NA,NA,NA,19,772.8,1,0.0245859213250518,"Frag","4_9.205688_-79.90685_11.4_Pato Horqueta","Pato Horqueta",11.4,9.205688,-79.90685,"Water","Tropical_Lowland",120,2600,"Lowland Tropical Forest","Panama",2008,"Frag__4_9.205688_-79.90685_11.4_Pato Horqueta",NA,NA,NA,FALSE,19,19,1,6,1,6,1.16666666666667,1.16666666666667,1.08012344973464,-2.03017049267305,-0.41107435209999,1.01841810417342,0.179731176105722,-1.10288350817016,-0.225806150869164,10000,9.21034037197618,1.6569147377683,2.43361335540045,-0.134397005162016,2.03017049267305
"14",14,"Frag__4_9.207167_-79.888038_2.5_Guava",4,"Frag","4_9.207167_-79.888038_2.5_Guava",2.5,10,1,682.15,10,4,"Pooled_Cont__4",NA,NA,6,148,-2.64920970107928,"Frag_vs_Cont","SR_level",NA,NA,NA,NA,NA,NA,10,682.15,1,0.0146595323609177,"Frag","4_9.207167_-79.888038_2.5_Guava","Guava",2.5,9.207167,-79.888038,"Water","Tropical_Lowland",120,2600,"Lowland Tropical Forest","Panama",2008,"Frag__4_9.207167_-79.888038_2.5_Guava",NA,NA,NA,FALSE,10,10,1,6,1,6,1.16666666666667,1.16666666666667,1.08012344973464,-2.64920970107928,-0.41107435209999,1.01841810417342,0.179837886298612,-1.10266617275851,-0.241203367284468,10000,9.21034037197618,1.6569147377683,0.916290731874155,-0.861628357266828,2.64920970107928
"15",15,"Frag__4_9.209639_-79.891856_7.2_Guanabano",4,"Frag","4_9.209639_-79.891856_7.2_Guanabano",7.2,8,1,739.292,8,4,"Pooled_Cont__4",NA,NA,6,148,-2.86051879474648,"Frag_vs_Cont","SR_level",NA,NA,NA,NA,NA,NA,8,739.292,1,0.010821164032615,"Frag","4_9.209639_-79.891856_7.2_Guanabano","Guanabano",7.2,9.209639,-79.891856,"Water","Tropical_Lowland",120,2600,"Lowland Tropical Forest","Panama",2008,"Frag__4_9.209639_-79.891856_7.2_Guanabano",NA,NA,NA,FALSE,8,8,1,6,1,6,1.16666666666667,1.16666666666667,1.08012344973464,-2.86051879474648,-0.41107435209999,1.01841810417342,0.180016241671718,-1.10271028218875,-0.233072252997734,10000,9.21034037197618,1.6569147377683,1.97408102602201,-0.354644375133406,2.86051879474648
"16",16,"Frag__4_9.224632_-79.892229_50_Leon",4,"Frag","4_9.224632_-79.892229_50_Leon",50,16,1,743.93,16,4,"Pooled_Cont__4",NA,NA,6,148,-2.19722457733622,"Frag_vs_Cont","SR_level",NA,NA,NA,NA,NA,NA,16,743.93,1,0.0215073998897746,"Frag","4_9.224632_-79.892229_50_Leon","Leon",50,9.224632,-79.892229,"Water","Tropical_Lowland",120,2600,"Lowland Tropical Forest","Panama",2008,"Frag__4_9.224632_-79.892229_50_Leon",NA,NA,NA,FALSE,16,16,1,6,1,6,1.16666666666667,1.16666666666667,1.08012344973464,-2.19722457733622,-0.41107435209999,1.01841810417342,0.181097990097678,-1.1027145914652,-0.15902721225897,10000,9.21034037197618,1.6569147377683,3.91202300542815,0.574183907087073,2.19722457733622
"17",17,"Frag__4_9.135788_-79.834198_5.9_Mona Grita",4,"Frag","4_9.135788_-79.834198_5.9_Mona Grita",5.9,15,1,794.23,15,NA,NA,NA,NA,NA,NA,0.298492988555997,"Frag_vs_Frag","SR_level",4,"Frag__4_9.176562_-79.938687_16.3_Guacha","4_9.176562_-79.938687_16.3_Guacha",16.3,1,11,15,794.23,1,0.0188862168389509,"Frag","4_9.135788_-79.834198_5.9_Mona Grita","Mona Grita",5.9,9.135788,-79.834198,"Water","Tropical_Lowland",120,2600,"Lowland Tropical Forest","Panama",2008,"Frag__4_9.135788_-79.834198_5.9_Mona Grita",NA,NA,NA,FALSE,15,15,1,1,1,1,2,2,1.4142135623731,-0.298492988555997,-0.41107435209999,1.01841810417342,0.174687874900184,-1.1020441581634,-0.235321284608958,16.3,2.79116510781272,-0.932946139685696,1.77495235091167,-0.450083943092119,-0.298492988555997
"18",18,"Frag__4_9.182747_-79.830415_4.4_Pina",4,"Frag","4_9.182747_-79.830415_4.4_Pina",4.4,17,1,808.6,17,NA,NA,NA,NA,NA,NA,0.121360857004268,"Frag_vs_Frag","SR_level",4,"Frag__4_9.135788_-79.834198_5.9_Mona Grita","4_9.135788_-79.834198_5.9_Mona Grita",5.9,1,15,17,808.6,1,0.0210239920850853,"Frag","4_9.182747_-79.830415_4.4_Pina","Pina",4.4,9.182747,-79.830415,"Water","Tropical_Lowland",120,2600,"Lowland Tropical Forest","Panama",2008,"Frag__4_9.182747_-79.830415_4.4_Pina",NA,NA,NA,FALSE,17,17,1,1,1,1,2,2,1.4142135623731,-0.121360857004268,-0.41107435209999,1.01841810417342,0.178075977637107,-1.10200045308885,-0.237916321083448,5.9,1.77495235091167,-1.34294423974702,1.48160454092422,-0.590681414708522,-0.121360857004268
"19",19,"Frag__4_9.182747_-79.830415_4.4_Pina",4,"Frag","4_9.182747_-79.830415_4.4_Pina",4.4,17,1,808.6,17,NA,NA,NA,NA,NA,NA,0.419853845560264,"Frag_vs_Frag","SR_level",4,"Frag__4_9.176562_-79.938687_16.3_Guacha","4_9.176562_-79.938687_16.3_Guacha",16.3,1,11,17,808.6,1,0.0210239920850853,"Frag","4_9.182747_-79.830415_4.4_Pina","Pina",4.4,9.182747,-79.830415,"Water","Tropical_Lowland",120,2600,"Lowland Tropical Forest","Panama",2008,"Frag__4_9.182747_-79.830415_4.4_Pina",NA,NA,NA,FALSE,17,17,1,1,1,1,2,2,1.4142135623731,-0.419853845560264,-0.41107435209999,1.01841810417342,0.178075977637107,-1.10200045308885,-0.237916321083448,16.3,2.79116510781272,-0.932946139685696,1.48160454092422,-0.590681414708522,-0.419853845560264
"20",20,"Frag__4_9.193611_-79.862883_2.8_Chicha",4,"Frag","4_9.193611_-79.862883_2.8_Chicha",2.8,15,1,793.25,15,NA,NA,NA,NA,NA,NA,0,"Frag_vs_Frag","SR_level",4,"Frag__4_9.135788_-79.834198_5.9_Mona Grita","4_9.135788_-79.834198_5.9_Mona Grita",5.9,1,15,15,793.25,1,0.0189095493224078,"Frag","4_9.193611_-79.862883_2.8_Chicha","Chicha",2.8,9.193611,-79.862883,"Water","Tropical_Lowland",120,2600,"Lowland Tropical Forest","Panama",2008,"Frag__4_9.193611_-79.862883_2.8_Chicha",NA,NA,NA,FALSE,15,15,1,1,1,1,2,2,1.4142135623731,0,-0.41107435209999,1.01841810417342,0.178859817755804,-1.1023755565412,-0.24068435998957,5.9,1.77495235091167,-1.34294423974702,1.02961941718116,-0.80731151537032,0
"21",21,"Frag__4_9.193611_-79.862883_2.8_Chicha",4,"Frag","4_9.193611_-79.862883_2.8_Chicha",2.8,15,1,793.25,15,NA,NA,NA,NA,NA,NA,0.298492988555997,"Frag_vs_Frag","SR_level",4,"Frag__4_9.176562_-79.938687_16.3_Guacha","4_9.176562_-79.938687_16.3_Guacha",16.3,1,11,15,793.25,1,0.0189095493224078,"Frag","4_9.193611_-79.862883_2.8_Chicha","Chicha",2.8,9.193611,-79.862883,"Water","Tropical_Lowland",120,2600,"Lowland Tropical Forest","Panama",2008,"Frag__4_9.193611_-79.862883_2.8_Chicha",NA,NA,NA,FALSE,15,15,1,1,1,1,2,2,1.4142135623731,-0.298492988555997,-0.41107435209999,1.01841810417342,0.178859817755804,-1.1023755565412,-0.24068435998957,16.3,2.79116510781272,-0.932946139685696,1.02961941718116,-0.80731151537032,-0.298492988555997
"22",22,"Frag__4_9.193611_-79.862883_2.8_Chicha",4,"Frag","4_9.193611_-79.862883_2.8_Chicha",2.8,15,1,793.25,15,NA,NA,NA,NA,NA,NA,-0.121360857004267,"Frag_vs_Frag","SR_level",4,"Frag__4_9.182747_-79.830415_4.4_Pina","4_9.182747_-79.830415_4.4_Pina",4.4,1,17,15,793.25,1,0.0189095493224078,"Frag","4_9.193611_-79.862883_2.8_Chicha","Chicha",2.8,9.193611,-79.862883,"Water","Tropical_Lowland",120,2600,"Lowland Tropical Forest","Panama",2008,"Frag__4_9.193611_-79.862883_2.8_Chicha",NA,NA,NA,FALSE,15,15,1,1,1,1,2,2,1.4142135623731,0.121360857004267,-0.41107435209999,1.01841810417342,0.178859817755804,-1.1023755565412,-0.24068435998957,4.4,1.48160454092422,-1.4612974526301,1.02961941718116,-0.80731151537032,0.121360857004267
"23",23,"Frag__4_9.135788_-79.834198_5.9_Mona Grita",4,"Frag","4_9.135788_-79.834198_5.9_Mona Grita",5.9,15,1,794.23,15,NA,NA,NA,NA,NA,NA,0.298492988555997,"Frag_vs_Frag","SR_level",4,"Frag__4_9.194036_-79.929241_17.3_Trinidad","4_9.194036_-79.929241_17.3_Trinidad",17.3,1,11,15,794.23,1,0.0188862168389509,"Frag","4_9.135788_-79.834198_5.9_Mona Grita","Mona Grita",5.9,9.135788,-79.834198,"Water","Tropical_Lowland",120,2600,"Lowland Tropical Forest","Panama",2008,"Frag__4_9.135788_-79.834198_5.9_Mona Grita",NA,NA,NA,FALSE,15,15,1,1,1,1,2,2,1.4142135623731,-0.298492988555997,-0.41107435209999,1.01841810417342,0.174687874900184,-1.1020441581634,-0.235321284608958,17.3,2.85070650150373,-0.908923750552574,1.77495235091167,-0.450083943092119,-0.298492988555997
"24",24,"Frag__4_9.176562_-79.938687_16.3_Guacha",4,"Frag","4_9.176562_-79.938687_16.3_Guacha",16.3,11,1,600.27,11,NA,NA,NA,NA,NA,NA,0,"Frag_vs_Frag","SR_level",4,"Frag__4_9.194036_-79.929241_17.3_Trinidad","4_9.194036_-79.929241_17.3_Trinidad",17.3,1,11,11,600.27,1,0.0183250870441635,"Frag","4_9.176562_-79.938687_16.3_Guacha","Guacha",16.3,9.176562,-79.938687,"Water","Tropical_Lowland",120,2600,"Lowland Tropical Forest","Panama",2008,"Frag__4_9.176562_-79.938687_16.3_Guacha",NA,NA,NA,FALSE,11,11,1,1,1,1,2,2,1.4142135623731,0,-0.41107435209999,1.01841810417342,0.177629728453183,-1.1032513216669,-0.217329031719165,17.3,2.85070650150373,-0.908923750552574,2.79116510781272,0.0369725113287608,0
"25",25,"Frag__4_9.182747_-79.830415_4.4_Pina",4,"Frag","4_9.182747_-79.830415_4.4_Pina",4.4,17,1,808.6,17,NA,NA,NA,NA,NA,NA,0.419853845560264,"Frag_vs_Frag","SR_level",4,"Frag__4_9.194036_-79.929241_17.3_Trinidad","4_9.194036_-79.929241_17.3_Trinidad",17.3,1,11,17,808.6,1,0.0210239920850853,"Frag","4_9.182747_-79.830415_4.4_Pina","Pina",4.4,9.182747,-79.830415,"Water","Tropical_Lowland",120,2600,"Lowland Tropical Forest","Panama",2008,"Frag__4_9.182747_-79.830415_4.4_Pina",NA,NA,NA,FALSE,17,17,1,1,1,1,2,2,1.4142135623731,-0.419853845560264,-0.41107435209999,1.01841810417342,0.178075977637107,-1.10200045308885,-0.237916321083448,17.3,2.85070650150373,-0.908923750552574,1.48160454092422,-0.590681414708522,-0.419853845560264
"26",26,"Frag__4_9.193611_-79.862883_2.8_Chicha",4,"Frag","4_9.193611_-79.862883_2.8_Chicha",2.8,15,1,793.25,15,NA,NA,NA,NA,NA,NA,0.298492988555997,"Frag_vs_Frag","SR_level",4,"Frag__4_9.194036_-79.929241_17.3_Trinidad","4_9.194036_-79.929241_17.3_Trinidad",17.3,1,11,15,793.25,1,0.0189095493224078,"Frag","4_9.193611_-79.862883_2.8_Chicha","Chicha",2.8,9.193611,-79.862883,"Water","Tropical_Lowland",120,2600,"Lowland Tropical Forest","Panama",2008,"Frag__4_9.193611_-79.862883_2.8_Chicha",NA,NA,NA,FALSE,15,15,1,1,1,1,2,2,1.4142135623731,-0.298492988555997,-0.41107435209999,1.01841810417342,0.178859817755804,-1.1023755565412,-0.24068435998957,17.3,2.85070650150373,-0.908923750552574,1.02961941718116,-0.80731151537032,-0.298492988555997
"27",27,"Frag__4_9.203498_-79.850606_3.4_Tres Almendras Oeste",4,"Frag","4_9.203498_-79.850606_3.4_Tres Almendras Oeste",3.4,21,1,778.06,21,NA,NA,NA,NA,NA,NA,0.327212911208416,"Frag_vs_Frag","SR_level",4,"Frag__4_9.135788_-79.834198_5.9_Mona Grita","4_9.135788_-79.834198_5.9_Mona Grita",5.9,1,15,21,778.06,1,0.0269902064108166,"Frag","4_9.203498_-79.850606_3.4_Tres Almendras Oeste","Tres Almendras Oeste",3.4,9.203498,-79.850606,"Water","Tropical_Lowland",120,2600,"Lowland Tropical Forest","Panama",2008,"Frag__4_9.203498_-79.850606_3.4_Tres Almendras Oeste",NA,NA,NA,FALSE,21,21,1,1,1,1,2,2,1.4142135623731,-0.327212911208416,-0.41107435209999,1.01841810417342,0.179573167097995,-1.10223372011504,-0.239646345399774,5.9,1.77495235091167,-1.34294423974702,1.22377543162212,-0.714255273598194,-0.327212911208416
"28",28,"Frag__4_9.203498_-79.850606_3.4_Tres Almendras Oeste",4,"Frag","4_9.203498_-79.850606_3.4_Tres Almendras Oeste",3.4,21,1,778.06,21,NA,NA,NA,NA,NA,NA,0.625705899764413,"Frag_vs_Frag","SR_level",4,"Frag__4_9.176562_-79.938687_16.3_Guacha","4_9.176562_-79.938687_16.3_Guacha",16.3,1,11,21,778.06,1,0.0269902064108166,"Frag","4_9.203498_-79.850606_3.4_Tres Almendras Oeste","Tres Almendras Oeste",3.4,9.203498,-79.850606,"Water","Tropical_Lowland",120,2600,"Lowland Tropical Forest","Panama",2008,"Frag__4_9.203498_-79.850606_3.4_Tres Almendras Oeste",NA,NA,NA,FALSE,21,21,1,1,1,1,2,2,1.4142135623731,-0.625705899764413,-0.41107435209999,1.01841810417342,0.179573167097995,-1.10223372011504,-0.239646345399774,16.3,2.79116510781272,-0.932946139685696,1.22377543162212,-0.714255273598194,-0.625705899764413
"29",29,"Frag__4_9.203498_-79.850606_3.4_Tres Almendras Oeste",4,"Frag","4_9.203498_-79.850606_3.4_Tres Almendras Oeste",3.4,21,1,778.06,21,NA,NA,NA,NA,NA,NA,0.205852054204149,"Frag_vs_Frag","SR_level",4,"Frag__4_9.182747_-79.830415_4.4_Pina","4_9.182747_-79.830415_4.4_Pina",4.4,1,17,21,778.06,1,0.0269902064108166,"Frag","4_9.203498_-79.850606_3.4_Tres Almendras Oeste","Tres Almendras Oeste",3.4,9.203498,-79.850606,"Water","Tropical_Lowland",120,2600,"Lowland Tropical Forest","Panama",2008,"Frag__4_9.203498_-79.850606_3.4_Tres Almendras Oeste",NA,NA,NA,FALSE,21,21,1,1,1,1,2,2,1.4142135623731,-0.205852054204149,-0.41107435209999,1.01841810417342,0.179573167097995,-1.10223372011504,-0.239646345399774,4.4,1.48160454092422,-1.4612974526301,1.22377543162212,-0.714255273598194,-0.205852054204149
